0,1,2,3,4
Kab. Karanganyar,Belanja Barang dan Jasa,"505,85 M","543,13 M",107.37
Kab. Karanganyar,Belanja Modal,"180,81 M","253,01 M",139.94
Kab. Karanganyar,Belanja Modal,"180,81 M","253,01 M",139.94
Kab. Karanganyar,Belanja Lainnya,"430,34 M","453,47 M",105.38
Kab. Karanganyar,Belanja Bunga,"4,00 M","0,39 M",9.74
Kab. Karanganyar,Belanja Hibah,"68,65 M","83,22 M",121.22
Kab. Karanganyar,Belanja Bantuan Sosial,"6,65 M","10,28 M",154.48
Kab. Karanganyar,Belanja Tidak Terduga,"15,00 M","2,94 M",19.62
Kab. Karanganyar,Belanja Bagi Hasil,"18,50 M","20,02 M",108.22
Kab. Karanganyar,Belanja Bantuan Keuangan,"317,54 M","336,62 M",106.01
Kab. Karanganyar,Surplus/(Defisit),"-17,50 M","48,38 M",-276.43
Kab. Karanganyar,Pembiayaan Daerah,"17,50 M","136,17 M",778.13
Kab. Karanganyar,Penerimaan Pembiayaan Daerah,"50,00 M","175,63 M",351.26
Kab. Karanganyar,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"50,00 M","175,43 M",350.85
Kab. Karanganyar,Penerimaan Kembali Pemberian Pinjaman Daerah,"0,00 M","0,20 M",0
Kab. Karanganyar,Pengeluaran Pembiayaan Daerah,"32,50 M","39,46 M",121.41
Kab. Karanganyar,Penyertaan Modal Daerah,"4,00 M","11,00 M",275.00
Kab. Karanganyar,Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"28,50 M","28,46 M",99.85
Kab. Kebumen,Pendapatan Daerah,"2.746,03 M","2.847,54 M",103.70
Kab. Kebumen,PAD,"407,72 M","512,50 M",125.70
Kab. Kebumen,Pajak Daerah,"111,31 M","129,85 M",116.66
Kab. Kebumen,Retribusi Daerah,"32,57 M","28,37 M",87.13
Kab. Kebumen,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"16,50 M","17,64 M",106.91
Kab. Kebumen,Lain-Lain PAD yang Sah,"247,35 M","336,64 M",136.10
Kab. Kebumen,TKDD *),"2.023,13 M","2.123,30 M",104.95
Kab. Kebumen,Pendapatan Transfer Pemerintah Pusat,"2.023,13 M","2.123,30 M",104.95
Kab. Kebumen,Pendapatan Lainnya,"315,18 M","211,74 M",67.18
Kab. Kebumen,Pendapatan Transfer Antar Daerah,"176,99 M","206,41 M",116.62
Kab. Kebumen,Pendapatan Hibah,"8,13 M","5,33 M",65.62
Kab. Kebumen,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"130,07 M","0,00 M",0.00
Kab. Kebumen,Belanja Daerah,"2.843,73 M","2.824,08 M",99.31
Kab. Kebumen,Belanja Pegawai,"1.272,01 M","1.141,84 M",89.77
Kab. Kebumen,Belanja Pegawai,"1.272,01 M","1.141,84 M",89.77
Kab. Kebumen,Belanja Barang Jasa,"655,15 M","704,90 M",107.59
Kab. Kebumen,Belanja Barang dan Jasa,"655,15 M","704,90 M",107.59
Kab. Kebumen,Belanja Modal,"211,17 M","272,30 M",128.95
Kab. Kebumen,Belanja Modal,"211,17 M","272,30 M",128.95
Kab. Kebumen,Belanja Lainnya,"705,40 M","705,04 M",99.95
Kab. Kebumen,Belanja Subsidi,"0,50 M","0,31 M",62.77
Kab. Kebumen,Belanja Hibah,"60,50 M","59,75 M",98.76
Kab. Kebumen,Belanja Bantuan Sosial,"11,39 M","11,18 M",98.18
Kab. Kebumen,Belanja Tidak Terduga,"6,53 M","1,30 M",19.84
Kab. Kebumen,Belanja Bagi Hasil,"12,42 M","12,40 M",99.86
Kab. Kebumen,Belanja Bantuan Keuangan,"614,06 M","620,09 M",100.98
Kab. Kebumen,Surplus/(Defisit),"-97,69 M","23,46 M",-24.01
Kab. Kebumen,Pembiayaan Daerah,"97,69 M","235,98 M",241.55
Kab. Kebumen,Penerimaan Pembiayaan Daerah,"132,99 M","271,28 M",203.98
Kab. Kebumen,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"130,89 M","269,18 M",205.65
Kab. Kebumen,Penerimaan Kembali Pemberian Pinjaman Daerah,"2,10 M","2,10 M",100.00
Kab. Kebumen,Pengeluaran Pembiayaan Daerah,"35,30 M","35,30 M",100.00
Kab. Kebumen,Pembentukan Dana Cadangan,"15,00 M","15,00 M",100.00
Kab. Kebumen,Penyertaan Modal Daerah,"18,20 M","18,20 M",100.00
Kab. Kebumen,Pemberian Pinjaman Daerah,"2,10 M","2,10 M",100.00
Kab. Kendal,Pendapatan Daerah,"2.440,17 M","2.032,44 M",83.29
Kab. Kendal,PAD,"565,64 M","377,21 M",66.69
Kab. Kendal,Pajak Daerah,"301,06 M","214,25 M",71.17
Kab. Kendal,Retribusi Daerah,"30,08 M","21,07 M",70.03
Kab. Kendal,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"19,00 M","24,95 M",131.31
Kab. Kendal,Lain-Lain PAD yang Sah,"215,50 M","116,94 M",54.27
Kab. Kendal,TKDD *),"1.675,01 M","1.469,23 M",87.71
Kab. Kendal,Pendapatan Transfer Pemerintah Pusat,"1.675,01 M","1.469,23 M",87.71
Kab. Kendal,Pendapatan Lainnya,"199,51 M","186,00 M",93.23
Kab. Kendal,Pendapatan Transfer Antar Daerah,"191,71 M","178,04 M",92.87
Kab. Kendal,Pendapatan Hibah,"7,80 M","7,80 M",100.00
Kab. Kendal,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,16 M",0
Kab. Kendal,Belanja Daerah,"2.507,71 M","2.471,37 M",98.55
Kab. Kendal,Belanja Pegawai,"1.121,22 M","941,37 M",83.96
Kab. Kendal,Belanja Pegawai,"1.121,22 M","941,37 M",83.96
Kab. Kendal,Belanja Barang Jasa,"599,45 M","640,58 M",106.86
Kab. Kendal,Belanja Barang dan Jasa,"599,45 M","640,58 M",106.86
Kab. Kendal,Belanja Modal,"244,67 M","289,01 M",118.12
Kab. Kendal,Belanja Modal,"244,67 M","289,01 M",118.12
Kab. Kendal,Belanja Lainnya,"542,36 M","600,41 M",110.70
Kab. Kendal,Belanja Hibah,"79,26 M","72,39 M",91.34
Kab. Kendal,Belanja Bantuan Sosial,"5,55 M","5,61 M",101.07
Kab. Kendal,Belanja Tidak Terduga,"8,25 M","2,49 M",30.13
Kab. Kendal,Belanja Bagi Hasil,"33,66 M","30,73 M",91.27
Kab. Kendal,Belanja Bantuan Keuangan,"415,64 M","489,19 M",117.70
Kab. Kendal,Surplus/(Defisit),"-67,54 M","-438,93 M",649.88
Kab. Kendal,Pembiayaan Daerah,"67,54 M","384,87 M",569.84
Kab. Kendal,Penerimaan Pembiayaan Daerah,"97,94 M","415,80 M",424.55
Kab. Kendal,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"97,94 M","415,80 M",424.55
Kab. Kendal,Penerimaan Kembali Pemberian Pinjaman Daerah,"0,00 M","0,00 M",0
Kab. Kendal,Pengeluaran Pembiayaan Daerah,"30,40 M","30,94 M",101.76
Kab. Kendal,Pembentukan Dana Cadangan,"15,00 M","15,00 M",100.00
Kab. Kendal,Penyertaan Modal Daerah,"15,40 M","15,94 M",103.48
Kab. Klaten,Pendapatan Daerah,"2.502,40 M","2.587,73 M",103.41
Kab. Klaten,PAD,"274,49 M","358,05 M",130.44
Kab. Klaten,Pajak Daerah,"113,75 M","146,18 M",128.51
Kab. Klaten,Retribusi Daerah,"15,67 M","17,15 M",109.44
Kab. Klaten,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"13,27 M","18,64 M",140.44
Kab. Klaten,Lain-Lain PAD yang Sah,"131,79 M","176,07 M",133.60
Kab. Klaten,TKDD *),"2.051,08 M","1.982,27 M",96.65
Kab. Klaten,Pendapatan Transfer Pemerintah Pusat,"2.051,08 M","1.982,27 M",96.65
Kab. Klaten,Pendapatan Lainnya,"176,83 M","247,41 M",139.91
Kab. Klaten,Pendapatan Transfer Antar Daerah,"163,79 M","232,34 M",141.85
Kab. Klaten,Pendapatan Hibah,"13,04 M","15,07 M",115.56
Kab. Klaten,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,00 M",0
Kab. Klaten,Belanja Daerah,"2.700,86 M","2.524,60 M",93.47
Kab. Klaten,Belanja Pegawai,"1.237,00 M","965,54 M",78.05
Kab. Klaten,Belanja Pegawai,"1.237,00 M","965,54 M",78.05
Kab. Klaten,Belanja Barang Jasa,"562,45 M","581,66 M",103.42
Kab. Klaten,Belanja Barang dan Jasa,"562,45 M","581,66 M",103.42
Kab. Klaten,Belanja Modal,"237,79 M","245,10 M",103.08
Kab. Klaten,Belanja Modal,"237,79 M","245,10 M",103.08
Kab. Klaten,Belanja Lainnya,"663,62 M","732,29 M",110.35
Kab. Klaten,Belanja Subsidi,"2,00 M","1,80 M",89.79
Kab. Klaten,Belanja Hibah,"57,42 M","58,20 M",101.35
Kab. Klaten,Belanja Bantuan Sosial,"2,28 M","10,73 M",471.64
Kab. Klaten,Belanja Tidak Terduga,"26,96 M","7,79 M",28.91
Kab. Klaten,Belanja Bagi Hasil,"14,94 M","16,62 M",111.23
Kab. Klaten,Belanja Bantuan Keuangan,"560,02 M","637,16 M",113.77
Kab. Klaten,Surplus/(Defisit),"-198,46 M","63,13 M",-31.81
Kab. Klaten,Pembiayaan Daerah,"198,46 M","469,52 M",236.58
Kab. Klaten,Penerimaan Pembiayaan Daerah,"198,46 M","493,72 M",248.78
Kab. Klaten,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"198,46 M","493,72 M",248.78
Kab. Klaten,Pengeluaran Pembiayaan Daerah,"0,00 M","24,20 M",0
Kab. Klaten,Pembentukan Dana Cadangan,"0,00 M","15,00 M",0
Kab. Klaten,Penyertaan Modal Daerah,"0,00 M","9,20 M",0
Kab. Kudus,Pendapatan Daerah,"1.966,92 M","2.073,89 M",105.44
Kab. Kudus,PAD,"382,61 M","417,73 M",109.18
Kab. Kudus,Pajak Daerah,"144,62 M","169,77 M",117.39
Kab. Kudus,Retribusi Daerah,"26,78 M","24,97 M",93.23
Kab. Kudus,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"8,48 M","10,65 M",125.66
Kab. Kudus,Lain-Lain PAD yang Sah,"202,73 M","212,34 M",104.74
Kab. Kudus,TKDD *),"1.443,77 M","1.477,04 M",102.30
Kab. Kudus,Pendapatan Transfer Pemerintah Pusat,"1.443,77 M","1.477,04 M",102.30
Kab. Kudus,Pendapatan Lainnya,"140,54 M","179,11 M",127.45
Kab. Kudus,Pendapatan Transfer Antar Daerah,"140,54 M","177,40 M",126.23
Kab. Kudus,Pendapatan Hibah,"0,00 M","1,72 M",0
Kab. Kudus,Belanja Daerah,"2.138,78 M","2.147,67 M",100.42
Kab. Kudus,Belanja Pegawai,"922,88 M","844,77 M",91.54
Kab. Kudus,Belanja Pegawai,"922,88 M","844,77 M",91.54
Kab. Kudus,Belanja Barang Jasa,"618,23 M","594,95 M",96.23
Kab. Kudus,Belanja Barang dan Jasa,"618,23 M","594,95 M",96.23
Kab. Kudus,Belanja Modal,"264,64 M","364,66 M",137.79
Kab. Kudus,Belanja Modal,"264,64 M","364,66 M",137.79
Kab. Kudus,Belanja Lainnya,"333,02 M","343,29 M",103.08
Kab. Kudus,Belanja Hibah,"56,76 M","64,86 M",114.27
Kab. Kudus,Belanja Bantuan Sosial,"1,95 M","1,91 M",97.84
Kab. Kudus,Belanja Tidak Terduga,"11,33 M","7,93 M",70.02
Kab. Kudus,Belanja Bagi Hasil,"17,14 M","18,65 M",108.81
Kab. Kudus,Belanja Bantuan Keuangan,"245,84 M","249,94 M",101.67
Kab. Kudus,Surplus/(Defisit),"-171,85 M","-73,79 M",42.94
Kab. Kudus,Pembiayaan Daerah,"171,85 M","-2,91 M",-1.69
Kab. Kudus,Penerimaan Pembiayaan Daerah,"171,85 M","0,00 M",0.00
Kab. Kudus,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"171,85 M","0,00 M",0.00
Kab. Kudus,Penerimaan Kembali Pemberian Pinjaman Daerah,"0,00 M","0,00 M",0
Kab. Kudus,Pengeluaran Pembiayaan Daerah,"0,00 M","2,91 M",0
Kab. Kudus,Penyertaan Modal Daerah,"0,00 M","2,91 M",0
Kab. Magelang,Pendapatan Daerah,"2.552,38 M","2.420,66 M",94.84
Kab. Magelang,PAD,"367,06 M","367,70 M",100.18
Kab. Magelang,Pajak Daerah,"124,83 M","167,71 M",134.35
Kab. Magelang,Retribusi Daerah,"29,28 M","18,97 M",64.78
Kab. Magelang,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"29,08 M","28,08 M",96.56
Kab. Magelang,Lain-Lain PAD yang Sah,"183,87 M","152,95 M",83.18
Kab. Magelang,TKDD *),"1.943,30 M","1.826,73 M",94.00
Kab. Magelang,Pendapatan Transfer Pemerintah Pusat,"1.943,30 M","1.826,73 M",94.00
Kab. Magelang,Pendapatan Lainnya,"242,02 M","226,23 M",93.48
Kab. Magelang,Pendapatan Transfer Antar Daerah,"214,38 M","201,81 M",94.13
Kab. Magelang,Pendapatan Hibah,"27,64 M","24,42 M",88.37
Kab. Magelang,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,00 M",0
Kab. Magelang,Belanja Daerah,"2.693,00 M","2.628,50 M",97.61
Kab. Magelang,Belanja Pegawai,"1.067,05 M","939,71 M",88.07
Kab. Magelang,Belanja Pegawai,"1.067,05 M","939,71 M",88.07
Kab. Magelang,Belanja Barang Jasa,"512,23 M","514,29 M",100.40
Kab. Magelang,Belanja Barang dan Jasa,"512,23 M","514,29 M",100.40
Kab. Magelang,Belanja Modal,"219,35 M","267,82 M",122.10
Kab. Magelang,Belanja Modal,"219,35 M","267,82 M",122.10
Kab. Magelang,Belanja Lainnya,"894,37 M","906,68 M",101.38
Kab. Magelang,Belanja Hibah,"134,92 M","121,02 M",89.70
Kab. Magelang,Belanja Bantuan Sosial,"7,21 M","14,97 M",207.77
Kab. Magelang,Belanja Tidak Terduga,"89,82 M","3,36 M",3.74
Kab. Magelang,Belanja Bagi Hasil,"15,63 M","18,40 M",117.69
Kab. Magelang,Belanja Bantuan Keuangan,"646,79 M","748,93 M",115.79
Kab. Magelang,Surplus/(Defisit),"-140,62 M","-207,84 M",147.81
Kab. Magelang,Pembiayaan Daerah,"140,62 M","299,08 M",212.69
Kab. Magelang,Penerimaan Pembiayaan Daerah,"165,62 M","328,58 M",198.40
Kab. Magelang,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"165,62 M","328,58 M",198.40
Kab. Magelang,Pengeluaran Pembiayaan Daerah,"25,00 M","29,50 M",118.00
Kab. Magelang,Pembentukan Dana Cadangan,"25,00 M","25,00 M",100.00
Kab. Magelang,Penyertaan Modal Daerah,"0,00 M","4,50 M",0
Kab. Pati,Pendapatan Daerah,"2.690,54 M","2.715,23 M",100.92
Kab. Pati,PAD,"362,81 M","388,82 M",107.17
Kab. Pati,Pajak Daerah,"113,51 M","142,27 M",125.33
Kab. Pati,Retribusi Daerah,"29,53 M","23,63 M",80.04
Kab. Pati,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"29,86 M","33,64 M",112.65
Kab. Pati,Lain-Lain PAD yang Sah,"189,91 M","189,28 M",99.67
Kab. Pati,TKDD *),"2.084,90 M","2.051,81 M",98.41
Kab. Pati,Pendapatan Transfer Pemerintah Pusat,"2.084,90 M","2.051,81 M",98.41
Kab. Pati,Pendapatan Lainnya,"242,83 M","274,60 M",113.09
Kab. Pati,Pendapatan Transfer Antar Daerah,"222,40 M","244,22 M",109.81
Kab. Pati,Pendapatan Hibah,"20,43 M","30,38 M",148.70
Kab. Pati,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,00 M",0
Kab. Pati,Belanja Daerah,"2.781,04 M","2.727,50 M",98.07
Kab. Pati,Belanja Pegawai,"1.115,36 M","1.009,66 M",90.52
Kab. Pati,Belanja Pegawai,"1.115,36 M","1.009,66 M",90.52
Kab. Pati,Belanja Barang Jasa,"644,39 M","642,23 M",99.66
Kab. Pati,Belanja Barang dan Jasa,"644,39 M","642,23 M",99.66
Kab. Pati,Belanja Modal,"234,14 M","240,73 M",102.81
Kab. Pati,Belanja Modal,"234,14 M","240,73 M",102.81
Kab. Pati,Belanja Lainnya,"787,15 M","834,88 M",106.06
Kab. Pati,Belanja Hibah,"64,12 M","96,69 M",150.79
Kab. Pati,Belanja Bantuan Sosial,"9,92 M","13,90 M",140.08
Kab. Pati,Belanja Tidak Terduga,"17,07 M","3,99 M",23.38
Kab. Pati,Belanja Bagi Hasil,"13,38 M","14,79 M",110.53
Kab. Pati,Belanja Bantuan Keuangan,"682,67 M","705,52 M",103.35
Kab. Pati,Surplus/(Defisit),"-90,50 M","-12,27 M",13.56
Kab. Pati,Pembiayaan Daerah,"90,50 M","186,41 M",205.98
Kab. Pati,Penerimaan Pembiayaan Daerah,"97,00 M","202,91 M",209.19
Kab. Pati,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"97,00 M","202,69 M",208.96
Kab. Pati,Penerimaan Kembali Pemberian Pinjaman Daerah,"0,00 M","0,23 M",0
Kab. Pati,Pengeluaran Pembiayaan Daerah,"6,50 M","16,50 M",253.85
Kab. Pati,Pembentukan Dana Cadangan,"0,00 M","10,00 M",0
Kab. Pati,Penyertaan Modal Daerah,"6,50 M","6,50 M",100.00
Kab. Pekalongan,Pendapatan Daerah,"2.215,43 M","2.198,30 M",99.23
Kab. Pekalongan,PAD,"439,71 M","348,16 M",79.18
Kab. Pekalongan,Pajak Daerah,"93,29 M","114,22 M",122.44
Kab. Pekalongan,Retribusi Daerah,"24,50 M","24,51 M",100.06
Kab. Pekalongan,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"10,80 M","11,05 M",102.28
Kab. Pekalongan,Lain-Lain PAD yang Sah,"311,12 M","198,38 M",63.76
Kab. Pekalongan,TKDD *),"1.568,39 M","1.526,42 M",97.32
Kab. Pekalongan,Pendapatan Transfer Pemerintah Pusat,"1.568,39 M","1.526,42 M",97.32
Kab. Pekalongan,Pendapatan Lainnya,"207,34 M","323,72 M",156.13
Kab. Pekalongan,Pendapatan Transfer Antar Daerah,"198,74 M","313,15 M",157.57
Kab. Pekalongan,Pendapatan Hibah,"8,60 M","10,57 M",122.87
Kab. Pekalongan,Belanja Daerah,"2.219,93 M","2.150,63 M",96.88
Kab. Pekalongan,Belanja Pegawai,"962,87 M","939,12 M",97.53
Kab. Pekalongan,Belanja Pegawai,"962,87 M","939,12 M",97.53
Kab. Pekalongan,Belanja Barang Jasa,"499,35 M","461,47 M",92.41
Kab. Pekalongan,Belanja Barang dan Jasa,"499,35 M","461,47 M",92.41
Kab. Pekalongan,Belanja Modal,"289,12 M","266,26 M",92.09
Kab. Pekalongan,Belanja Modal,"289,12 M","266,26 M",92.09
Kab. Pekalongan,Belanja Lainnya,"468,60 M","483,78 M",103.24
Kab. Pekalongan,Belanja Hibah,"60,26 M","78,34 M",130.01
Kab. Pekalongan,Belanja Bantuan Sosial,"22,32 M","21,25 M",95.18
Kab. Pekalongan,Belanja Tidak Terduga,"6,00 M","4,38 M",72.99
Kab. Pekalongan,Belanja Bagi Hasil,"10,84 M","10,71 M",98.74
Kab. Pekalongan,Belanja Bantuan Keuangan,"369,18 M","369,11 M",99.98
Kab. Pekalongan,Surplus/(Defisit),"-4,50 M","47,67 M","-1,059.33"
Kab. Pekalongan,Pembiayaan Daerah,"0,00 M","156,01 M",0
Kab. Pekalongan,Penerimaan Pembiayaan Daerah,"0,00 M","161,26 M",0
Kab. Pekalongan,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"0,00 M","161,26 M",0
Kab. Pekalongan,Pengeluaran Pembiayaan Daerah,"0,00 M","5,25 M",0
Kab. Pekalongan,Penyertaan Modal Daerah,"0,00 M","5,25 M",0
Kab. Pemalang,Pendapatan Daerah,"2.429,93 M","2.493,37 M",102.61
Kab. Pemalang,PAD,"300,39 M","349,08 M",116.21
Kab. Pemalang,Pajak Daerah,"86,12 M","99,60 M",115.65
Kab. Pemalang,Retribusi Daerah,"38,90 M","32,33 M",83.11
Kab. Pemalang,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"21,05 M","23,01 M",109.30
Kab. Pemalang,Lain-Lain PAD yang Sah,"154,32 M","194,13 M",125.80
Kab. Pemalang,TKDD *),"1.972,28 M","1.941,52 M",98.44
Kab. Pemalang,Pendapatan Transfer Pemerintah Pusat,"1.972,28 M","1.941,52 M",98.44
Kab. Pemalang,Pendapatan Lainnya,"157,25 M","202,77 M",128.95
Kab. Pemalang,Pendapatan Transfer Antar Daerah,"157,25 M","202,77 M",128.95
Kab. Pemalang,Belanja Daerah,"2.469,13 M","2.506,01 M",101.49
Kab. Pemalang,Belanja Pegawai,"1.231,39 M","1.141,30 M",92.68
Kab. Pemalang,Belanja Pegawai,"1.231,39 M","1.141,30 M",92.68
Kab. Pemalang,Belanja Barang Jasa,"602,28 M","693,26 M",115.11
Kab. Pemalang,Belanja Barang dan Jasa,"602,28 M","693,26 M",115.11
Kab. Pemalang,Belanja Modal,"99,33 M","150,90 M",151.92
Kab. Pemalang,Belanja Modal,"99,33 M","150,90 M",151.92
Kab. Pemalang,Belanja Lainnya,"536,13 M","520,55 M",97.09
Kab. Pemalang,Belanja Hibah,"55,80 M","38,63 M",69.22
Kab. Pemalang,Belanja Bantuan Sosial,"4,11 M","9,48 M",230.73
Kab. Pemalang,Belanja Tidak Terduga,"10,00 M","2,73 M",27.33
Kab. Pemalang,Belanja Bagi Hasil,"12,50 M","12,50 M",100.00
Kab. Pemalang,Belanja Bantuan Keuangan,"453,73 M","457,21 M",100.77
Kab. Pemalang,Surplus/(Defisit),"-39,20 M","-12,65 M",32.26
Kab. Pemalang,Pembiayaan Daerah,"39,20 M","166,60 M",425.00
Kab. Pemalang,Penerimaan Pembiayaan Daerah,"59,20 M","197,20 M",333.11
Kab. Pemalang,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"59,20 M","197,20 M",333.11
Kab. Pemalang,Pengeluaran Pembiayaan Daerah,"20,00 M","30,60 M",153.00
Kab. Pemalang,Pembentukan Dana Cadangan,"10,00 M","20,00 M",200.00
Kab. Pemalang,Penyertaan Modal Daerah,"10,00 M","10,60 M",106.00
Kab. Purbalingga,Pendapatan Daerah,"2.020,30 M","2.020,20 M",100.00
Kab. Purbalingga,PAD,"285,22 M","305,40 M",107.08
Kab. Purbalingga,Pajak Daerah,"60,50 M","73,25 M",121.08
Kab. Purbalingga,Retribusi Daerah,"13,78 M","14,74 M",106.96
Kab. Purbalingga,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"17,96 M","19,66 M",109.51
Kab. Purbalingga,Lain-Lain PAD yang Sah,"192,99 M","197,75 M",102.47
Kab. Purbalingga,TKDD *),"1.591,96 M","1.555,04 M",97.68
Kab. Purbalingga,Pendapatan Transfer Pemerintah Pusat,"1.591,96 M","1.555,04 M",97.68
Kab. Purbalingga,Pendapatan Lainnya,"143,12 M","159,76 M",111.63
Kab. Purbalingga,Pendapatan Transfer Antar Daerah,"127,13 M","144,95 M",114.02
Kab. Purbalingga,Pendapatan Hibah,"15,99 M","14,81 M",92.66
Kab. Purbalingga,Belanja Daerah,"2.077,81 M","2.120,83 M",102.07
Kab. Purbalingga,Belanja Pegawai,"925,72 M","906,76 M",97.95
Kab. Purbalingga,Belanja Pegawai,"925,72 M","906,76 M",97.95
Kab. Purbalingga,Belanja Barang Jasa,"443,26 M","502,60 M",113.39
Kab. Purbalingga,Belanja Barang dan Jasa,"443,26 M","502,60 M",113.39
Kab. Purbalingga,Belanja Modal,"238,36 M","239,84 M",100.62
Kab. Purbalingga,Belanja Modal,"238,36 M","239,84 M",100.62
Kab. Purbalingga,Belanja Lainnya,"470,48 M","471,64 M",100.25
Kab. Purbalingga,Belanja Subsidi,"0,50 M","0,50 M",100.00
Kab. Purbalingga,Belanja Hibah,"47,86 M","52,72 M",110.17
Kab. Purbalingga,Belanja Bantuan Sosial,"7,39 M","6,94 M",93.97
Kab. Purbalingga,Belanja Tidak Terduga,"13,70 M","3,15 M",22.97
Kab. Purbalingga,Belanja Bagi Hasil,"7,43 M","7,85 M",105.73
Kab. Purbalingga,Belanja Bantuan Keuangan,"393,61 M","400,47 M",101.74
Kab. Purbalingga,Surplus/(Defisit),"-57,51 M","-100,63 M",174.96
Kab. Purbalingga,Pembiayaan Daerah,"57,51 M","212,95 M",370.26
Kab. Purbalingga,Penerimaan Pembiayaan Daerah,"62,38 M","224,25 M",359.51
Kab. Purbalingga,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"62,38 M","224,25 M",359.51
Kab. Purbalingga,Pengeluaran Pembiayaan Daerah,"4,86 M","11,30 M",232.39
Kab. Purbalingga,Pembentukan Dana Cadangan,"0,00 M","6,00 M",0
Kab. Purbalingga,Penyertaan Modal Daerah,"4,86 M","5,30 M",109.00
Kab. Purworejo,Pendapatan Daerah,"2.324,89 M","2.186,70 M",94.06
Kab. Purworejo,PAD,"444,92 M","330,97 M",74.39
Kab. Purworejo,Pajak Daerah,"90,77 M","100,65 M",110.89
Kab. Purworejo,Retribusi Daerah,"34,25 M","18,59 M",54.28
Kab. Purworejo,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"18,40 M","13,72 M",74.57
Kab. Purworejo,Lain-Lain PAD yang Sah,"301,49 M","198,00 M",65.67
Kab. Purworejo,TKDD *),"1.751,63 M","1.704,40 M",97.30
Kab. Purworejo,Pendapatan Transfer Pemerintah Pusat,"1.751,63 M","1.704,40 M",97.30
Kab. Purworejo,Pendapatan Lainnya,"128,33 M","151,32 M",117.92
Kab. Purworejo,Pendapatan Transfer Antar Daerah,"128,33 M","144,12 M",112.31
Kab. Purworejo,Pendapatan Hibah,"0,00 M","7,20 M",0
Kab. Purworejo,Belanja Daerah,"2.480,52 M","2.347,14 M",94.62
Kab. Purworejo,Belanja Pegawai,"896,49 M","822,71 M",91.77
Kab. Purworejo,Belanja Pegawai,"896,49 M","822,71 M",91.77
Kab. Purworejo,Belanja Barang Jasa,"543,90 M","505,46 M",92.93
Kab. Purworejo,Belanja Barang dan Jasa,"543,90 M","505,46 M",92.93
Kab. Purworejo,Belanja Modal,"419,94 M","419,61 M",99.92
Kab. Purworejo,Belanja Modal,"419,94 M","419,61 M",99.92
Kab. Purworejo,Belanja Lainnya,"620,20 M","599,37 M",96.64
Kab. Purworejo,Belanja Bunga,"1,00 M","0,24 M",24.35
Kab. Purworejo,Belanja Hibah,"74,01 M","70,61 M",95.40
Kab. Purworejo,Belanja Bantuan Sosial,"11,97 M","8,99 M",75.06
Kab. Purworejo,Belanja Tidak Terduga,"4,94 M","0,00 M",0.00
Kab. Purworejo,Belanja Bagi Hasil,"22,21 M","19,59 M",88.23
Kab. Purworejo,Belanja Bantuan Keuangan,"506,07 M","499,94 M",98.79
Kab. Purworejo,Surplus/(Defisit),"-155,64 M","-160,45 M",103.09
Kab. Purworejo,Pembiayaan Daerah,"155,64 M","295,91 M",190.13
Kab. Purworejo,Penerimaan Pembiayaan Daerah,"158,14 M","302,41 M",191.23
Kab. Purworejo,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"108,14 M","284,27 M",262.87
Kab. Purworejo,Penerimaan Pinjaman Daerah,"50,00 M","17,92 M",35.84
Kab. Purworejo,Penerimaan Kembali Pemberian Pinjaman Daerah,"0,00 M","0,22 M",0
Kab. Purworejo,Pengeluaran Pembiayaan Daerah,"2,50 M","6,50 M",260.00
