0,1,2,3,4
Kab. Batang,Pendapatan Lainnya,"211,34 M","145,66 M",68.92
Kab. Batang,Pendapatan Transfer Antar Daerah,"129,85 M","144,64 M",111.39
Kab. Batang,Pendapatan Hibah,"0,00 M","0,00 M",0
Kab. Batang,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"81,48 M","1,02 M",1.25
Kab. Batang,Belanja Daerah,"1.829,30 M","1.783,95 M",97.52
Kab. Batang,Belanja Pegawai,"759,31 M","726,15 M",95.63
Kab. Batang,Belanja Pegawai,"759,31 M","726,15 M",95.63
Kab. Batang,Belanja Barang Jasa,"450,07 M","422,91 M",93.97
Kab. Batang,Belanja Barang dan Jasa,"450,07 M","422,91 M",93.97
Kab. Batang,Belanja Modal,"172,40 M","185,22 M",107.44
Kab. Batang,Belanja Modal,"172,40 M","185,22 M",107.44
Kab. Batang,Belanja Lainnya,"447,53 M","449,67 M",100.48
Kab. Batang,Belanja Hibah,"79,18 M","85,04 M",107.40
Kab. Batang,Belanja Bantuan Sosial,"15,27 M","13,55 M",88.76
Kab. Batang,Belanja Tidak Terduga,"12,00 M","4,17 M",34.75
Kab. Batang,Belanja Bagi Hasil,"9,59 M","9,58 M",99.81
Kab. Batang,Belanja Bantuan Keuangan,"331,48 M","337,33 M",101.76
Kab. Batang,Surplus/(Defisit),"-59,98 M","-111,45 M",185.82
Kab. Batang,Pembiayaan Daerah,"59,98 M","187,41 M",312.46
Kab. Batang,Penerimaan Pembiayaan Daerah,"101,98 M","207,75 M",203.72
Kab. Batang,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"71,98 M","207,75 M",288.63
Kab. Batang,Penerimaan Pinjaman Daerah,"30,00 M","0,00 M",0.00
Kab. Batang,Pengeluaran Pembiayaan Daerah,"42,00 M","20,34 M",48.43
Kab. Batang,Penyertaan Modal Daerah,"12,00 M","20,34 M",169.52
Kab. Batang,Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"30,00 M","0,00 M",0.00
Kab. Blora,Pendapatan Daerah,"2.089,65 M","2.100,17 M",100.50
Kab. Blora,PAD,"291,11 M","330,66 M",113.59
Kab. Blora,Pajak Daerah,"52,10 M","63,90 M",122.64
Kab. Blora,Retribusi Daerah,"12,43 M","11,51 M",92.59
Kab. Blora,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"73,45 M","78,18 M",106.44
Kab. Blora,Lain-Lain PAD yang Sah,"153,12 M","177,07 M",115.64
Kab. Blora,TKDD *),"1.678,54 M","1.581,37 M",94.21
Kab. Blora,Pendapatan Transfer Pemerintah Pusat,"1.678,54 M","1.581,37 M",94.21
Kab. Blora,Pendapatan Lainnya,"120,00 M","188,13 M",156.78
Kab. Blora,Pendapatan Transfer Antar Daerah,"120,00 M","188,00 M",156.67
Kab. Blora,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,13 M",0
Kab. Blora,Belanja Daerah,"2.299,65 M","2.380,18 M",103.50
Kab. Blora,Belanja Pegawai,"891,21 M","879,12 M",98.64
Kab. Blora,Belanja Pegawai,"891,21 M","879,12 M",98.64
Kab. Blora,Belanja Barang Jasa,"478,38 M","486,85 M",101.77
Kab. Blora,Belanja Barang dan Jasa,"478,38 M","486,85 M",101.77
Kab. Blora,Belanja Modal,"429,61 M","506,81 M",117.97
Kab. Blora,Belanja Modal,"429,61 M","506,81 M",117.97
Kab. Blora,Belanja Lainnya,"500,44 M","507,40 M",101.39
Kab. Blora,Belanja Bunga,"1,30 M","0,90 M",69.59
Kab. Blora,Belanja Hibah,"59,66 M","67,67 M",113.41
Kab. Blora,Belanja Bantuan Sosial,"1,51 M","3,29 M",217.12
Kab. Blora,Belanja Tidak Terduga,"12,58 M","0,00 M",0.00
Kab. Blora,Belanja Bagi Hasil,"6,44 M","7,55 M",117.27
Kab. Blora,Belanja Bantuan Keuangan,"418,95 M","427,99 M",102.16
Kab. Blora,Surplus/(Defisit),"-210,00 M","-280,01 M",133.34
Kab. Blora,Pembiayaan Daerah,"0,00 M","0,00 M",0
Kab. Blora,Penerimaan Pembiayaan Daerah,"210,00 M","309,88 M",147.56
Kab. Blora,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"60,00 M","225,52 M",375.86
Kab. Blora,Penerimaan Pinjaman Daerah,"150,00 M","84,37 M",56.24
Kab. Boyolali,Pendapatan Daerah,"2.272,48 M","2.336,37 M",102.81
Kab. Boyolali,PAD,"391,07 M","444,69 M",113.71
Kab. Boyolali,Pajak Daerah,"145,41 M","174,63 M",120.09
Kab. Boyolali,Retribusi Daerah,"13,53 M","15,87 M",117.27
Kab. Boyolali,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"19,81 M","19,99 M",100.87
Kab. Boyolali,Lain-Lain PAD yang Sah,"212,31 M","234,21 M",110.31
Kab. Boyolali,TKDD *),"1.746,41 M","1.675,07 M",95.92
Kab. Boyolali,Pendapatan Transfer Pemerintah Pusat,"1.746,41 M","1.675,07 M",95.92
Kab. Boyolali,Pendapatan Lainnya,"135,01 M","216,61 M",160.44
Kab. Boyolali,Pendapatan Transfer Antar Daerah,"135,01 M","192,19 M",142.36
Kab. Boyolali,Pendapatan Hibah,"0,00 M","23,16 M",0
Kab. Boyolali,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","1,25 M",0
Kab. Boyolali,Belanja Daerah,"2.283,01 M","2.435,26 M",106.67
Kab. Boyolali,Belanja Pegawai,"944,63 M","925,39 M",97.96
Kab. Boyolali,Belanja Pegawai,"944,63 M","925,39 M",97.96
Kab. Boyolali,Belanja Barang Jasa,"450,21 M","497,67 M",110.54
Kab. Boyolali,Belanja Barang dan Jasa,"450,21 M","497,67 M",110.54
Kab. Boyolali,Belanja Modal,"408,44 M","566,99 M",138.82
Kab. Boyolali,Belanja Modal,"408,44 M","566,99 M",138.82
Kab. Boyolali,Belanja Lainnya,"479,73 M","445,21 M",92.80
Kab. Boyolali,Belanja Hibah,"47,03 M","30,68 M",65.24
Kab. Boyolali,Belanja Bantuan Sosial,"21,82 M","29,99 M",137.47
Kab. Boyolali,Belanja Tidak Terduga,"40,00 M","6,89 M",17.21
Kab. Boyolali,Belanja Bagi Hasil,"15,83 M","15,70 M",99.23
Kab. Boyolali,Belanja Bantuan Keuangan,"355,06 M","361,95 M",101.94
Kab. Boyolali,Surplus/(Defisit),"-10,53 M","-98,89 M",939.13
Kab. Boyolali,Pembiayaan Daerah,"10,53 M","259,24 M","2,461.92"
